,id,ambience,food,service,prices,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0,0.0,0.5,0.1,0.1,0.3,0.40887844401448137,0.20534244266638285,0.10672698413423459,0.1602757873185384,0.17525968960913557,0.27094191029250314,0.18656820049110956,0.13793302853790798,0.11066962815803494,0.06815857805645774
1,1.0,1.0,0.0,0.0,0.0,0.6069769786668839,0.26013299085723596,0.43355498476205995,0.26013299085723596,0.086710996952412,0.086710996952412,0.43355498476205995,0.26013299085723596,0.086710996952412,0.173421993904824
2,2.0,0.0,1.0,0.0,0.0,0.40406101782088427,0.10101525445522107,0.20203050891044214,0.30304576336566325,0.5050762722761054,0.0,-0.30304576336566325,0.40406101782088427,-0.30304576336566325,0.30304576336566325
3,3.0,0.0,0.0,1.0,0.0,0.3244428422615251,-0.3244428422615251,0.3244428422615251,0.3244428422615251,-0.16222142113076254,0.6488856845230502,-0.3244428422615251,0.0,0.0,0.16222142113076254
4,4.0,0.0,0.0,0.0,1.0,0.10846522890932808,0.32539568672798425,-0.5423261445466404,-0.10846522890932808,0.32539568672798425,0.5423261445466404,0.10846522890932808,-0.10846522890932808,0.32539568672798425,-0.21693045781865616
5,5.0,0.25,0.25,0.25,0.25,0.36098651691465533,0.09052527244472905,0.10442554784684668,0.19478909189377405,0.18874038370643478,0.3194807065055256,-0.021367097988950076,0.13893219494219802,0.02726523007868325,0.10543968014564842
6,6.0,0.1,0.1,0.1,0.7,0.20947374411145897,0.23144752101468216,-0.28362546758924556,0.012836499411912797,0.27073356551936445,0.4531879693301945,0.05653229815001681,-0.009506259368717615,0.20614350406826384,-0.08798240263293432
7,7.0,0.1,0.1,0.7,0.1,0.3390603121227772,-0.15845559637902343,0.2364359244956537,0.2725813421144247,-0.02183669919588361,0.5171236933160404,-0.20321254455249507,0.05557287797687922,0.010906092031473299,0.13950872473671688
8,8.0,0.1,0.7,0.1,0.1,0.38683121745839266,0.09681926165102425,0.16298852448500392,0.2597430947769076,0.3785419168482372,0.12779228260221026,-0.19037429721497798,0.29800948866940974,-0.17092136598792465,0.2240033300776573
9,9.0,0.7,0.1,0.1,0.1,0.5085807939659925,0.19228990349223318,0.3019032099959747,0.23399543127185118,0.1275227516540211,0.17981888077365746,0.251586151661656,0.21165267249122077,0.06293269020292049,0.14622906840115374
10,10.0,0.5,0.0,0.0,0.5,0.357721103788106,0.2927643387926101,-0.05438557989229023,0.07583388097395394,0.20605334184019813,0.3145185707495262,0.27101010683569404,0.07583388097395394,0.20605334184019813,-0.021754231956916087
11,11.0,0.0,0.5,0.0,0.5,0.25626312336510615,0.21320547059160266,-0.17014781781809912,0.09729026722816758,0.4152359795020448,0.2711630722733202,-0.09729026722816758,0.1477978944557781,0.0111749616811605,0.04305765277350354
12,12.0,0.5,0.5,0.0,0.0,0.5055189982438841,0.18057412265622852,0.317792746836251,0.2815893771114496,0.2958936346142587,0.043355498476206,0.06525461069819835,0.3320970043390601,-0.10816738320662563,0.23823387863524362
13,13.0,0.0,0.5,0.5,0.0,0.3642519300412047,-0.111713793903152,0.2632366755859836,0.31374430281359417,0.17142742557267143,0.3244428422615251,-0.31374430281359417,0.20203050891044214,-0.15152288168283162,0.2326335922482129
14,14.0,0.0,0.0,0.1,0.9,0.1300629902445478,0.2604118338290333,-0.45564924586582384,-0.06517442179224275,0.2766339759421096,0.5529820985442814,0.06517442179224275,-0.09761870601839527,0.29285611805518585,-0.17901526992371428
15,15.0,0.2,0.2,0.2,0.4,0.3104822593135899,0.13749935530138008,-0.024924790631850713,0.13413822773315365,0.21607144431074468,0.3640497941137486,0.004599367390705558,0.08945271017189282,0.08689132140854344,0.04096565255278749
16,16.0,0.1,0.6,0.2,0.1,0.37886939990245677,0.05427345197934965,0.17522975782011224,0.2618828026664938,0.3118121475075504,0.19268085105451527,-0.19251400510456418,0.2576033868873214,-0.14061678965135835,0.20992089585416723
17,17.0,0.5,0.1,0.2,0.1,0.4196296824587682,0.10781902109463351,0.24763649726971515,0.21441311732655655,0.09395841015046245,0.22736524983548007,0.13243087048309143,0.1596260743197736,0.0455904908124381,0.1277668117332652
18,18.0,0.3,0.6,0.05,0.05,0.4461751078511384,0.13869669215362637,0.2403906356606275,0.2706662359441786,0.3372177757312479,0.08557389053920814,-0.06255984325838983,0.31505324650423494,-0.13954437459727512,0.23111860435645049
19,19.0,0.05,0.85,0.05,0.05,0.3954461176396385,0.09891725805312265,0.18250951669772306,0.2813944290712854,0.4418090945621712,0.06389614130110513,-0.24671003029032063,0.351035253245147,-0.23698356467679396,0.2635245467216603
