,id_coba,ambience,food,service,prices,resto,score
0,1,0.5,0.1,0.1,0.3,R1,0.40887844401448137
1,1,0.5,0.1,0.1,0.3,R6,0.27094191029250314
2,1,0.5,0.1,0.1,0.3,R2,0.20534244266638285
3,1,0.5,0.1,0.1,0.3,R7,0.18656820049110956
4,1,0.5,0.1,0.1,0.3,R5,0.17525968960913557
5,1,0.5,0.1,0.1,0.3,R4,0.1602757873185384
6,1,0.5,0.1,0.1,0.3,R8,0.13793302853790798
7,1,0.5,0.1,0.1,0.3,R9,0.11066962815803494
8,1,0.5,0.1,0.1,0.3,R3,0.10672698413423459
9,1,0.5,0.1,0.1,0.3,R10,0.06815857805645774
10,-,-,-,-,-,-,-
11,2,1,0,0,0,R1,0.6069769786668839
12,2,1,0,0,0,R3,0.43355498476205995
13,2,1,0,0,0,R7,0.43355498476205995
14,2,1,0,0,0,R2,0.26013299085723596
15,2,1,0,0,0,R4,0.26013299085723596
16,2,1,0,0,0,R8,0.26013299085723596
17,2,1,0,0,0,R10,0.173421993904824
18,2,1,0,0,0,R5,0.086710996952412
19,2,1,0,0,0,R6,0.086710996952412
20,2,1,0,0,0,R9,0.086710996952412
21,-,-,-,-,-,-,-
22,3,0,1,0,0,R5,0.5050762722761054
23,3,0,1,0,0,R1,0.40406101782088427
24,3,0,1,0,0,R8,0.40406101782088427
25,3,0,1,0,0,R4,0.30304576336566325
26,3,0,1,0,0,R10,0.30304576336566325
27,3,0,1,0,0,R3,0.20203050891044214
28,3,0,1,0,0,R2,0.10101525445522107
29,3,0,1,0,0,R6,0.0
30,3,0,1,0,0,R7,-0.30304576336566325
31,3,0,1,0,0,R9,-0.30304576336566325
32,-,-,-,-,-,-,-
33,4,0,0,1,0,R6,0.6488856845230502
34,4,0,0,1,0,R1,0.3244428422615251
35,4,0,0,1,0,R3,0.3244428422615251
36,4,0,0,1,0,R4,0.3244428422615251
37,4,0,0,1,0,R10,0.16222142113076254
38,4,0,0,1,0,R8,0.0
39,4,0,0,1,0,R9,0.0
40,4,0,0,1,0,R5,-0.16222142113076254
41,4,0,0,1,0,R2,-0.3244428422615251
42,4,0,0,1,0,R7,-0.3244428422615251
43,-,-,-,-,-,-,-
44,5,0,0,0,1,R6,0.5423261445466404
45,5,0,0,0,1,R2,0.32539568672798425
46,5,0,0,0,1,R5,0.32539568672798425
47,5,0,0,0,1,R9,0.32539568672798425
48,5,0,0,0,1,R1,0.10846522890932808
49,5,0,0,0,1,R7,0.10846522890932808
50,5,0,0,0,1,R4,-0.10846522890932808
51,5,0,0,0,1,R8,-0.10846522890932808
52,5,0,0,0,1,R10,-0.21693045781865616
53,5,0,0,0,1,R3,-0.5423261445466404
54,-,-,-,-,-,-,-
55,6,0.25,0.25,0.25,0.25,R1,0.36098651691465533
56,6,0.25,0.25,0.25,0.25,R6,0.3194807065055256
57,6,0.25,0.25,0.25,0.25,R4,0.19478909189377405
58,6,0.25,0.25,0.25,0.25,R5,0.18874038370643478
59,6,0.25,0.25,0.25,0.25,R8,0.13893219494219802
60,6,0.25,0.25,0.25,0.25,R10,0.10543968014564842
61,6,0.25,0.25,0.25,0.25,R3,0.10442554784684668
62,6,0.25,0.25,0.25,0.25,R2,0.09052527244472905
63,6,0.25,0.25,0.25,0.25,R9,0.02726523007868325
64,6,0.25,0.25,0.25,0.25,R7,-0.021367097988950076
65,-,-,-,-,-,-,-
66,7,0.1,0.1,0.1,0.7,R6,0.4531879693301945
67,7,0.1,0.1,0.1,0.7,R5,0.27073356551936445
68,7,0.1,0.1,0.1,0.7,R2,0.23144752101468216
69,7,0.1,0.1,0.1,0.7,R1,0.20947374411145897
70,7,0.1,0.1,0.1,0.7,R9,0.20614350406826384
71,7,0.1,0.1,0.1,0.7,R7,0.05653229815001681
72,7,0.1,0.1,0.1,0.7,R4,0.012836499411912797
73,7,0.1,0.1,0.1,0.7,R8,-0.009506259368717615
74,7,0.1,0.1,0.1,0.7,R10,-0.08798240263293432
75,7,0.1,0.1,0.1,0.7,R3,-0.28362546758924556
76,-,-,-,-,-,-,-
77,8,0.1,0.1,0.7,0.1,R6,0.5171236933160404
78,8,0.1,0.1,0.7,0.1,R1,0.3390603121227772
79,8,0.1,0.1,0.7,0.1,R4,0.2725813421144247
80,8,0.1,0.1,0.7,0.1,R3,0.2364359244956537
81,8,0.1,0.1,0.7,0.1,R10,0.13950872473671688
82,8,0.1,0.1,0.7,0.1,R8,0.05557287797687922
83,8,0.1,0.1,0.7,0.1,R9,0.010906092031473299
84,8,0.1,0.1,0.7,0.1,R5,-0.02183669919588361
85,8,0.1,0.1,0.7,0.1,R2,-0.15845559637902343
86,8,0.1,0.1,0.7,0.1,R7,-0.20321254455249507
87,-,-,-,-,-,-,-
88,9,0.1,0.7,0.1,0.1,R1,0.38683121745839266
89,9,0.1,0.7,0.1,0.1,R5,0.3785419168482372
90,9,0.1,0.7,0.1,0.1,R8,0.29800948866940974
91,9,0.1,0.7,0.1,0.1,R4,0.2597430947769076
92,9,0.1,0.7,0.1,0.1,R10,0.2240033300776573
93,9,0.1,0.7,0.1,0.1,R3,0.16298852448500392
94,9,0.1,0.7,0.1,0.1,R6,0.12779228260221026
95,9,0.1,0.7,0.1,0.1,R2,0.09681926165102425
96,9,0.1,0.7,0.1,0.1,R9,-0.17092136598792465
97,9,0.1,0.7,0.1,0.1,R7,-0.19037429721497798
98,-,-,-,-,-,-,-
99,10,0.7,0.1,0.1,0.1,R1,0.5085807939659925
100,10,0.7,0.1,0.1,0.1,R3,0.3019032099959747
101,10,0.7,0.1,0.1,0.1,R7,0.251586151661656
102,10,0.7,0.1,0.1,0.1,R4,0.23399543127185118
103,10,0.7,0.1,0.1,0.1,R8,0.21165267249122077
104,10,0.7,0.1,0.1,0.1,R2,0.19228990349223318
105,10,0.7,0.1,0.1,0.1,R6,0.17981888077365746
106,10,0.7,0.1,0.1,0.1,R10,0.14622906840115374
107,10,0.7,0.1,0.1,0.1,R5,0.1275227516540211
108,10,0.7,0.1,0.1,0.1,R9,0.06293269020292049
109,-,-,-,-,-,-,-
110,11,0.5,0,0,0.5,R1,0.357721103788106
111,11,0.5,0,0,0.5,R6,0.3145185707495262
112,11,0.5,0,0,0.5,R2,0.2927643387926101
113,11,0.5,0,0,0.5,R7,0.27101010683569404
114,11,0.5,0,0,0.5,R5,0.20605334184019813
115,11,0.5,0,0,0.5,R9,0.20605334184019813
116,11,0.5,0,0,0.5,R4,0.07583388097395394
117,11,0.5,0,0,0.5,R8,0.07583388097395394
118,11,0.5,0,0,0.5,R10,-0.021754231956916087
119,11,0.5,0,0,0.5,R3,-0.05438557989229023
120,-,-,-,-,-,-,-
121,12,0,0.5,0,0.5,R5,0.4152359795020448
122,12,0,0.5,0,0.5,R6,0.2711630722733202
123,12,0,0.5,0,0.5,R1,0.25626312336510615
124,12,0,0.5,0,0.5,R2,0.21320547059160266
125,12,0,0.5,0,0.5,R8,0.1477978944557781
126,12,0,0.5,0,0.5,R4,0.09729026722816758
127,12,0,0.5,0,0.5,R10,0.04305765277350354
128,12,0,0.5,0,0.5,R9,0.0111749616811605
129,12,0,0.5,0,0.5,R7,-0.09729026722816758
130,12,0,0.5,0,0.5,R3,-0.17014781781809912
131,-,-,-,-,-,-,-
132,13,0.5,0.5,0,0,R1,0.5055189982438841
133,13,0.5,0.5,0,0,R8,0.3320970043390601
134,13,0.5,0.5,0,0,R3,0.317792746836251
135,13,0.5,0.5,0,0,R5,0.2958936346142587
136,13,0.5,0.5,0,0,R4,0.2815893771114496
137,13,0.5,0.5,0,0,R10,0.23823387863524362
138,13,0.5,0.5,0,0,R2,0.18057412265622852
139,13,0.5,0.5,0,0,R7,0.06525461069819835
140,13,0.5,0.5,0,0,R6,0.043355498476206
141,13,0.5,0.5,0,0,R9,-0.10816738320662563
142,-,-,-,-,-,-,-
143,14,0,0.5,0.5,0,R1,0.3642519300412047
144,14,0,0.5,0.5,0,R6,0.3244428422615251
145,14,0,0.5,0.5,0,R4,0.31374430281359417
146,14,0,0.5,0.5,0,R3,0.2632366755859836
147,14,0,0.5,0.5,0,R10,0.2326335922482129
